LAST_UPDATE_2022,COUNTY,CANDIDATE_NAME_1,CANDIDATE_PARTY_1,CANDIDATE_NAME_2,CANDIDATE_PARTY_2,CANDIDATE_NAME_3,CANDIDATE_PARTY_3,CANDIDATE_NAME_4,CANDIDATE_PARTY_4,CANDIDATE_NAME_5,CANDIDATE_PARTY_5,CANDIDATE_NAME_6,CANDIDATE_PARTY_6,CANDIDATE_NAME_7,CANDIDATE_PARTY_7,CANDIDATE_NAME_8,CANDIDATE_PARTY_8,CANDIDATE_NAME_9,CANDIDATE_PARTY_9,VOTES_WON_1,VOTES_WON_2,VOTES_WON_3,VOTES_WON_4,VOTES_WON_5,VOTES_WON_6,VOTES_WON_7,VOTES_WON_8,VOTES_WON_9,TOTAL_VOTES_TALLIED,VOTE_SHARE_1,VOTE_SHARE_2,VOTE_SHARE_3,VOTE_SHARE_4,VOTE_SHARE_5,VOTE_SHARE_6,VOTE_SHARE_7,VOTE_SHARE_8,VOTE_SHARE_9,LEAD_PARTY,LEAD_CANDIDATE,RAW_MARGIN,MARGIN_PERCENTPOINTS,ST_TOTAL_VOTES_TALLIED,ST_VOTE_SHARE_1,ST_VOTE_SHARE_2,ST_VOTE_SHARE_3,ST_VOTE_SHARE_4,ST_VOTE_SHARE_5,ST_VOTE_SHARE_6,ST_VOTE_SHARE_7,ST_VOTE_SHARE_8,ST_VOTE_SHARE_9,ST_LEAD_PARTY,ST_LEAD_CANDIDATE,ST_RAW_MARGIN,ST_MARGIN_PERCENTPOINTS,ST_LEAD_VOTESHARE,ST_SECOND_PARTY,ST_SECOND_CANDIDATE,ST_SECOND_VOTESHARE,FIPS,WINNER_PARTY_16,WINNER_CANDIDATE_16,VOTE_SHARE_WINNER_16,MARGIN_PERCENTPOINTS_16,ST_WINNER_CANDIDATE_16,ST_WINNER_VOTESHARE_16,ST_MARGIN_PERCENTPOINTS_16,ST_WINNER_PARTY_16
Last updated at 11-13-2022 20:09,Gulf,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,5065,1295,19,24,12,0,0,0,0,6415,78.96,20.19,0.3,0.37,0.19,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3770,58.77,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12045,REP,Marco Rubio (REP),72.0,47.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hamilton,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,3030,1213,18,15,4,0,0,0,0,4280,70.79,28.34,0.42,0.35,0.09,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1817,42.45,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12047,REP,Marco Rubio (REP),56.9,17.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hardee,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,4465,971,23,30,8,0,0,0,0,5497,81.23,17.66,0.42,0.55,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3494,63.56,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12049,REP,Marco Rubio (REP),68.7,41.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hendry,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6000,2116,36,54,14,0,0,0,0,8220,72.99,25.74,0.44,0.66,0.17,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),3884,47.25,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12051,REP,Marco Rubio (REP),61.2,25.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hernando,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,54776,24271,352,462,213,0,0,0,0,80074,68.41,30.31,0.44,0.58,0.27,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),30505,38.1,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12053,REP,Marco Rubio (REP),58.2,22.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Highlands,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,28715,10428,146,266,61,0,0,0,0,39616,72.48,26.32,0.37,0.67,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),18287,46.16,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12055,REP,Marco Rubio (REP),62.5,30.3,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Hillsborough,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,253195,222090,2492,2342,1616,0,0,0,0,481735,52.56,46.1,0.52,0.49,0.34,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),31105,6.46,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12057,REP,Marco Rubio (REP),48.1,0.5,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Holmes,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,6148,556,23,34,6,0,0,0,0,6767,90.85,8.22,0.34,0.5,0.09,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),5592,82.64,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12059,REP,Marco Rubio (REP),83.7,72.1,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Indian River,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,50843,25586,267,297,133,0,0,0,0,77126,65.92,33.17,0.35,0.39,0.17,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),25257,32.75,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12061,REP,Marco Rubio (REP),61.0,25.2,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Jackson,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,11998,3834,40,77,12,0,0,0,0,15961,75.17,24.02,0.25,0.48,0.08,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),8164,51.15,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12063,REP,Marco Rubio (REP),66.2,35.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Jefferson,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,4137,2929,24,24,10,0,0,0,0,7124,58.07,41.11,0.34,0.34,0.14,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1208,16.96,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12065,REP,Marco Rubio (REP),49.4,1.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Lafayette,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,2519,348,11,22,5,0,0,0,0,2905,86.71,11.98,0.38,0.76,0.17,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),2171,74.73,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12067,REP,Marco Rubio (REP),76.5,56.6,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Lake,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,103009,55268,619,624,286,0,0,0,0,159806,64.46,34.58,0.39,0.39,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),47741,29.87,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12069,REP,Marco Rubio (REP),59.9,24.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Lee,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,185050,87063,898,934,446,0,0,0,0,274391,67.44,31.73,0.33,0.34,0.16,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),97987,35.71,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12071,REP,Marco Rubio (REP),63.6,31.1,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Leon,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,46472,69577,493,427,373,0,0,0,0,117342,39.6,59.29,0.42,0.36,0.32,0.0,0.0,0.0,0.0,DEM,Val Demings (DEM),23105,19.69,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12073,DEM,Patrick Murphy (DEM),57.4,17.7,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Levy,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,13684,3943,69,116,44,0,0,0,0,17856,76.64,22.08,0.39,0.65,0.25,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),9741,54.55,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12075,REP,Marco Rubio (REP),67.7,39.9,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Liberty,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,2163,405,11,18,3,0,0,0,0,2600,83.19,15.58,0.42,0.69,0.12,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1758,67.62,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12077,REP,Marco Rubio (REP),71.4,48.1,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Madison,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,4468,2442,23,26,9,0,0,0,0,6968,64.12,35.05,0.33,0.37,0.13,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),2026,29.08,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12079,REP,Marco Rubio (REP),54.6,12.2,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Manatee,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,107991,61237,731,677,310,0,0,0,0,170946,63.17,35.82,0.43,0.4,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),46754,27.35,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12081,REP,Marco Rubio (REP),58.0,20.4,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Marion,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,104574,49640,624,578,227,0,0,0,0,155643,67.19,31.89,0.4,0.37,0.15,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),54934,35.29,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12083,REP,Marco Rubio (REP),60.6,26.1,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Martin,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,52293,24626,241,258,110,0,0,0,0,77528,67.45,31.76,0.31,0.33,0.14,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),27667,35.69,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12085,REP,Marco Rubio (REP),58.2,18.8,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Miami-Dade,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,386116,318712,2591,2628,1255,0,0,0,0,711302,54.28,44.81,0.36,0.37,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),67404,9.48,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12086,DEM,Patrick Murphy (DEM),54.6,11.3,Marco Rubio (REP),52,7.7,REP
Last updated at 11-13-2022 20:09,Monroe,Marco Rubio (REP),REP,Val Demings (DEM),DEM,Dennis Misigoy (LPF),LPF,Steven B. Grant (NPA),NPA,Tuan TQ Nguyen (NPA),NPA,Uloma Uma Ekpete (WRI),WRITE-IN/OTHER,Edward A. Gray (WRI),WRITE-IN/OTHER,Howard Knepper (WRI),WRITE-IN/OTHER,Moses Quiles (WRI),WRITE-IN/OTHER,19893,13740,150,107,61,0,0,0,0,33951,58.59,40.47,0.44,0.32,0.18,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),6153,18.12,7747909,57.69,41.26,0.41,0.41,0.22,0.0,0.0,0.0,0.0,REP,Marco Rubio (REP),1272824,16.43,57.69,DEM,Val Demings (DEM),41.26,12087,REP,Marco Rubio (REP),51.7,6.9,Marco Rubio (REP),52,7.7,REP
